,ds,yhat,ride
0,2022-11-15 01:00:00,-109.02675556654725,7_dwarfs_train.csv
1,2022-11-15 02:00:00,-227.7535977128113,7_dwarfs_train.csv
2,2022-11-15 03:00:00,-373.09943404101443,7_dwarfs_train.csv
3,2022-11-15 04:00:00,-495.91182960773307,7_dwarfs_train.csv
4,2022-11-15 05:00:00,-537.8098589441327,7_dwarfs_train.csv
5,2022-11-15 06:00:00,-468.02421443846976,7_dwarfs_train.csv
6,2022-11-15 07:00:00,-305.99106640607846,7_dwarfs_train.csv
7,2022-11-15 08:00:00,-111.59378007848483,7_dwarfs_train.csv
8,2022-11-15 08:00:00,-111.59378007848483,7_dwarfs_train.csv
9,2022-11-15 09:00:00,50.064837730734496,7_dwarfs_train.csv
10,2022-11-15 09:00:00,50.064837730734496,7_dwarfs_train.csv
11,2022-11-15 10:00:00,143.26674982473773,7_dwarfs_train.csv
12,2022-11-15 10:00:00,143.26674982473773,7_dwarfs_train.csv
13,2022-11-15 11:00:00,172.24209156747293,7_dwarfs_train.csv
14,2022-11-15 12:00:00,165.23481763672208,7_dwarfs_train.csv
0,2022-11-15 01:00:00,92.91791042758221,astro_orbiter.csv
1,2022-11-15 02:00:00,-16.568294059552386,astro_orbiter.csv
2,2022-11-15 03:00:00,-170.3560689910601,astro_orbiter.csv
3,2022-11-15 04:00:00,-338.7612148809137,astro_orbiter.csv
4,2022-11-15 05:00:00,-462.1702491029184,astro_orbiter.csv
5,2022-11-15 06:00:00,-479.0481785072574,astro_orbiter.csv
6,2022-11-15 07:00:00,-365.51623014273605,astro_orbiter.csv
7,2022-11-15 08:00:00,-156.7927612473625,astro_orbiter.csv
8,2022-11-15 08:00:00,-156.7927612473625,astro_orbiter.csv
9,2022-11-15 09:00:00,68.92126249505685,astro_orbiter.csv
10,2022-11-15 09:00:00,68.92126249505685,astro_orbiter.csv
11,2022-11-15 10:00:00,235.09366634983104,astro_orbiter.csv
12,2022-11-15 10:00:00,235.09366634983104,astro_orbiter.csv
13,2022-11-15 11:00:00,308.3476392048308,astro_orbiter.csv
14,2022-11-15 12:00:00,307.98886335218924,astro_orbiter.csv
0,2022-11-15 01:00:00,-4.9125167602811715,barnstormer.csv
1,2022-11-15 02:00:00,-104.72701553255409,barnstormer.csv
2,2022-11-15 03:00:00,-225.42897609895758,barnstormer.csv
3,2022-11-15 04:00:00,-330.23106867975423,barnstormer.csv
4,2022-11-15 05:00:00,-373.7127246556563,barnstormer.csv
5,2022-11-15 06:00:00,-328.23946774293967,barnstormer.csv
6,2022-11-15 07:00:00,-203.405868490445,barnstormer.csv
7,2022-11-15 08:00:00,-43.24109198289645,barnstormer.csv
8,2022-11-15 08:00:00,-43.24109198289645,barnstormer.csv
9,2022-11-15 09:00:00,98.00630061701234,barnstormer.csv
10,2022-11-15 09:00:00,98.00630061701234,barnstormer.csv
11,2022-11-15 10:00:00,184.68054114914656,barnstormer.csv
12,2022-11-15 10:00:00,184.68054114914656,barnstormer.csv
13,2022-11-15 11:00:00,213.70322111962767,barnstormer.csv
14,2022-11-15 12:00:00,206.81273369503032,barnstormer.csv
0,2022-11-15 01:00:00,12.659130772102273,big_thunder_mtn.csv
1,2022-11-15 02:00:00,-301.3416696209054,big_thunder_mtn.csv
2,2022-11-15 03:00:00,-697.531842985568,big_thunder_mtn.csv
3,2022-11-15 04:00:00,-1013.20454266842,big_thunder_mtn.csv
4,2022-11-15 05:00:00,-1095.4951783998079,big_thunder_mtn.csv
5,2022-11-15 06:00:00,-902.5911171592714,big_thunder_mtn.csv
6,2022-11-15 07:00:00,-531.213501274759,big_thunder_mtn.csv
7,2022-11-15 08:00:00,-149.30950835568768,big_thunder_mtn.csv
8,2022-11-15 08:00:00,-149.30950835568768,big_thunder_mtn.csv
9,2022-11-15 09:00:00,111.34505016246597,big_thunder_mtn.csv
10,2022-11-15 09:00:00,111.34505016246597,big_thunder_mtn.csv
11,2022-11-15 10:00:00,220.54476275372465,big_thunder_mtn.csv
12,2022-11-15 10:00:00,220.54476275372465,big_thunder_mtn.csv
13,2022-11-15 11:00:00,233.18255160435825,big_thunder_mtn.csv
14,2022-11-15 12:00:00,221.19102347332472,big_thunder_mtn.csv
0,2022-11-15 01:00:00,-252.5942765110267,buzz_lightyear.csv
1,2022-11-15 02:00:00,-410.60558751011433,buzz_lightyear.csv
2,2022-11-15 03:00:00,-591.6875115505228,buzz_lightyear.csv
3,2022-11-15 04:00:00,-730.6428447764822,buzz_lightyear.csv
4,2022-11-15 05:00:00,-762.2933490497917,buzz_lightyear.csv
5,2022-11-15 06:00:00,-662.9204526998262,buzz_lightyear.csv
6,2022-11-15 07:00:00,-468.045128835127,buzz_lightyear.csv
7,2022-11-15 08:00:00,-252.1042703914383,buzz_lightyear.csv
8,2022-11-15 08:00:00,-252.1042703914383,buzz_lightyear.csv
9,2022-11-15 09:00:00,-84.83529630465335,buzz_lightyear.csv
10,2022-11-15 09:00:00,-84.83529630465335,buzz_lightyear.csv
11,2022-11-15 10:00:00,3.879352753848991,buzz_lightyear.csv
12,2022-11-15 10:00:00,3.879352753848991,buzz_lightyear.csv
13,2022-11-15 11:00:00,28.17136462714464,buzz_lightyear.csv
14,2022-11-15 12:00:00,22.805423439539823,buzz_lightyear.csv
0,2022-11-15 01:00:00,-95.37593665725099,dumbo.csv
1,2022-11-15 02:00:00,-248.6203810643782,dumbo.csv
2,2022-11-15 03:00:00,-421.85842494580424,dumbo.csv
3,2022-11-15 04:00:00,-552.679654203089,dumbo.csv
4,2022-11-15 05:00:00,-580.8959943243631,dumbo.csv
5,2022-11-15 06:00:00,-485.85327542271136,dumbo.csv
6,2022-11-15 07:00:00,-301.5009598431576,dumbo.csv
7,2022-11-15 08:00:00,-97.21678111963104,dumbo.csv
8,2022-11-15 08:00:00,-97.21678111963104,dumbo.csv
9,2022-11-15 09:00:00,61.851430197537766,dumbo.csv
10,2022-11-15 09:00:00,61.851430197537766,dumbo.csv
11,2022-11-15 10:00:00,146.69319511814825,dumbo.csv
12,2022-11-15 10:00:00,146.69319511814825,dumbo.csv
13,2022-11-15 11:00:00,168.7501637364991,dumbo.csv
14,2022-11-15 12:00:00,159.56763205980178,dumbo.csv
0,2022-11-15 01:00:00,-181.59077889152098,haunted_mansion.csv
1,2022-11-15 02:00:00,-320.2194864164546,haunted_mansion.csv
2,2022-11-15 03:00:00,-542.7972422360878,haunted_mansion.csv
3,2022-11-15 04:00:00,-786.7173768803801,haunted_mansion.csv
4,2022-11-15 05:00:00,-942.9149727823618,haunted_mansion.csv
5,2022-11-15 06:00:00,-923.3854730228633,haunted_mansion.csv
6,2022-11-15 07:00:00,-723.9843835988712,haunted_mansion.csv
7,2022-11-15 08:00:00,-431.3729244645573,haunted_mansion.csv
8,2022-11-15 08:00:00,-431.3729244645573,haunted_mansion.csv
9,2022-11-15 09:00:00,-166.86647008574678,haunted_mansion.csv
10,2022-11-15 09:00:00,-166.86647008574678,haunted_mansion.csv
11,2022-11-15 10:00:00,-11.00154890794687,haunted_mansion.csv
12,2022-11-15 10:00:00,-11.00154890794687,haunted_mansion.csv
13,2022-11-15 11:00:00,34.106914214839264,haunted_mansion.csv
14,2022-11-15 12:00:00,22.475968007647452,haunted_mansion.csv
0,2022-11-15 01:00:00,200.4830087637472,it_s_a_small_world.csv
1,2022-11-15 02:00:00,105.27841621621943,it_s_a_small_world.csv
2,2022-11-15 03:00:00,-90.96331308257848,it_s_a_small_world.csv
3,2022-11-15 04:00:00,-305.121465270453,it_s_a_small_world.csv
4,2022-11-15 05:00:00,-427.69384693620344,it_s_a_small_world.csv
5,2022-11-15 06:00:00,-397.8140483678502,it_s_a_small_world.csv
6,2022-11-15 07:00:00,-242.3838818018437,it_s_a_small_world.csv
7,2022-11-15 08:00:00,-50.015359507993,it_s_a_small_world.csv
8,2022-11-15 08:00:00,-50.015359507993,it_s_a_small_world.csv
9,2022-11-15 09:00:00,94.82567655433726,it_s_a_small_world.csv
10,2022-11-15 09:00:00,94.82567655433726,it_s_a_small_world.csv
11,2022-11-15 10:00:00,162.30191072315685,it_s_a_small_world.csv
12,2022-11-15 10:00:00,162.30191072315685,it_s_a_small_world.csv
13,2022-11-15 11:00:00,176.85505543700117,it_s_a_small_world.csv
14,2022-11-15 12:00:00,178.03745372717793,it_s_a_small_world.csv
0,2022-11-15 01:00:00,-119.29959062947117,jungle_cruise.csv
1,2022-11-15 02:00:00,-250.05829860182246,jungle_cruise.csv
2,2022-11-15 03:00:00,-405.28651111136617,jungle_cruise.csv
3,2022-11-15 04:00:00,-537.3126379346485,jungle_cruise.csv
4,2022-11-15 05:00:00,-587.585489335123,jungle_cruise.csv
5,2022-11-15 06:00:00,-521.8896822096026,jungle_cruise.csv
6,2022-11-15 07:00:00,-356.2750169433033,jungle_cruise.csv
7,2022-11-15 08:00:00,-152.0176757196962,jungle_cruise.csv
8,2022-11-15 08:00:00,-152.0176757196962,jungle_cruise.csv
9,2022-11-15 09:00:00,19.043001629494952,jungle_cruise.csv
10,2022-11-15 09:00:00,19.043001629494952,jungle_cruise.csv
11,2022-11-15 10:00:00,114.1999532762124,jungle_cruise.csv
12,2022-11-15 10:00:00,114.1999532762124,jungle_cruise.csv
13,2022-11-15 11:00:00,136.6848905626508,jungle_cruise.csv
14,2022-11-15 12:00:00,120.90347183711802,jungle_cruise.csv
0,2022-11-15 01:00:00,284.7030826573413,laugh_floor.csv
1,2022-11-15 02:00:00,284.6372585318909,laugh_floor.csv
2,2022-11-15 03:00:00,150.94490928931788,laugh_floor.csv
3,2022-11-15 04:00:00,-56.87454522274902,laugh_floor.csv
4,2022-11-15 05:00:00,-223.8178933686656,laugh_floor.csv
5,2022-11-15 06:00:00,-258.6474856009148,laugh_floor.csv
6,2022-11-15 07:00:00,-150.66422638988644,laugh_floor.csv
7,2022-11-15 08:00:00,35.89529797965082,laugh_floor.csv
8,2022-11-15 08:00:00,35.89529797965082,laugh_floor.csv
9,2022-11-15 09:00:00,216.33577623484683,laugh_floor.csv
10,2022-11-15 09:00:00,216.33577623484683,laugh_floor.csv
11,2022-11-15 10:00:00,339.5112375998773,laugh_floor.csv
12,2022-11-15 10:00:00,339.5112375998773,laugh_floor.csv
13,2022-11-15 11:00:00,402.42754115420485,laugh_floor.csv
14,2022-11-15 12:00:00,427.4698117135033,laugh_floor.csv
0,2022-11-15 01:00:00,-233.0805967718155,mad_tea_party.csv
1,2022-11-15 02:00:00,-420.694800157351,mad_tea_party.csv
2,2022-11-15 03:00:00,-623.2514847728761,mad_tea_party.csv
3,2022-11-15 04:00:00,-754.2591765535252,mad_tea_party.csv
4,2022-11-15 05:00:00,-747.065732272309,mad_tea_party.csv
5,2022-11-15 06:00:00,-600.0644729513429,mad_tea_party.csv
6,2022-11-15 07:00:00,-378.5189560345468,mad_tea_party.csv
7,2022-11-15 08:00:00,-171.63470161325725,mad_tea_party.csv
8,2022-11-15 08:00:00,-171.63470161325725,mad_tea_party.csv
9,2022-11-15 09:00:00,-38.855528653474124,mad_tea_party.csv
10,2022-11-15 09:00:00,-38.855528653474124,mad_tea_party.csv
11,2022-11-15 10:00:00,14.945161535877645,mad_tea_party.csv
12,2022-11-15 10:00:00,14.945161535877645,mad_tea_party.csv
13,2022-11-15 11:00:00,22.970320186711575,mad_tea_party.csv
14,2022-11-15 12:00:00,20.406805823770185,mad_tea_party.csv
0,2022-11-15 01:00:00,-76.07069972099133,magic_carpets.csv
1,2022-11-15 02:00:00,-277.316883318768,magic_carpets.csv
2,2022-11-15 03:00:00,-545.691702669231,magic_carpets.csv
3,2022-11-15 04:00:00,-783.8901373310312,magic_carpets.csv
4,2022-11-15 05:00:00,-881.3391528852422,magic_carpets.csv
5,2022-11-15 06:00:00,-784.2649661289952,magic_carpets.csv
6,2022-11-15 07:00:00,-532.8658606202166,magic_carpets.csv
7,2022-11-15 08:00:00,-236.1614550381082,magic_carpets.csv
8,2022-11-15 08:00:00,-236.1614550381082,magic_carpets.csv
9,2022-11-15 09:00:00,-3.784101237691914,magic_carpets.csv
10,2022-11-15 09:00:00,-3.784101237691914,magic_carpets.csv
11,2022-11-15 10:00:00,113.79959096218096,magic_carpets.csv
12,2022-11-15 10:00:00,113.79959096218096,magic_carpets.csv
13,2022-11-15 11:00:00,136.26052152651616,magic_carpets.csv
14,2022-11-15 12:00:00,117.52483349695993,magic_carpets.csv
0,2022-11-15 01:00:00,-82.23026814908901,peter_pan_s_flight.csv
1,2022-11-15 02:00:00,-252.9800807829026,peter_pan_s_flight.csv
2,2022-11-15 03:00:00,-438.3625628912952,peter_pan_s_flight.csv
3,2022-11-15 04:00:00,-564.0280722443059,peter_pan_s_flight.csv
4,2022-11-15 05:00:00,-565.8274126934508,peter_pan_s_flight.csv
5,2022-11-15 06:00:00,-433.1271991672259,peter_pan_s_flight.csv
6,2022-11-15 07:00:00,-218.67988679668386,peter_pan_s_flight.csv
7,2022-11-15 08:00:00,-6.371416047072736,peter_pan_s_flight.csv
8,2022-11-15 08:00:00,-6.371416047072736,peter_pan_s_flight.csv
9,2022-11-15 09:00:00,138.7393901088541,peter_pan_s_flight.csv
10,2022-11-15 09:00:00,138.7393901088541,peter_pan_s_flight.csv
11,2022-11-15 10:00:00,201.32915872943713,peter_pan_s_flight.csv
12,2022-11-15 10:00:00,201.32915872943713,peter_pan_s_flight.csv
13,2022-11-15 11:00:00,209.05423660352494,peter_pan_s_flight.csv
14,2022-11-15 12:00:00,200.71710990835905,peter_pan_s_flight.csv
0,2022-11-15 01:00:00,-262.04429038837895,philharmagic.csv
1,2022-11-15 02:00:00,-305.40315585408973,philharmagic.csv
2,2022-11-15 03:00:00,-385.1516911749493,philharmagic.csv
3,2022-11-15 04:00:00,-486.7885551098022,philharmagic.csv
4,2022-11-15 05:00:00,-559.6991619316874,philharmagic.csv
5,2022-11-15 06:00:00,-550.6924156116686,philharmagic.csv
6,2022-11-15 07:00:00,-445.937436283039,philharmagic.csv
7,2022-11-15 08:00:00,-285.4114197716722,philharmagic.csv
8,2022-11-15 08:00:00,-285.4114197716722,philharmagic.csv
9,2022-11-15 09:00:00,-136.55887283886705,philharmagic.csv
10,2022-11-15 09:00:00,-136.55887283886705,philharmagic.csv
11,2022-11-15 10:00:00,-48.807962714862924,philharmagic.csv
12,2022-11-15 10:00:00,-48.807962714862924,philharmagic.csv
13,2022-11-15 11:00:00,-25.980408394818454,philharmagic.csv
14,2022-11-15 12:00:00,-36.04740838962371,philharmagic.csv
0,2022-11-15 01:00:00,120.49984782585418,pirates_of_caribbean.csv
1,2022-11-15 02:00:00,93.55011114316146,pirates_of_caribbean.csv
2,2022-11-15 03:00:00,-18.622542803330187,pirates_of_caribbean.csv
3,2022-11-15 04:00:00,-179.20591446732755,pirates_of_caribbean.csv
4,2022-11-15 05:00:00,-313.2796168153595,pirates_of_caribbean.csv
5,2022-11-15 06:00:00,-355.3442240392436,pirates_of_caribbean.csv
6,2022-11-15 07:00:00,-291.50813967173445,pirates_of_caribbean.csv
7,2022-11-15 08:00:00,-164.46804628396401,pirates_of_caribbean.csv
8,2022-11-15 08:00:00,-164.46804628396401,pirates_of_caribbean.csv
9,2022-11-15 09:00:00,-39.853744971465396,pirates_of_caribbean.csv
10,2022-11-15 09:00:00,-39.853744971465396,pirates_of_caribbean.csv
11,2022-11-15 10:00:00,37.28692742264556,pirates_of_caribbean.csv
12,2022-11-15 10:00:00,37.28692742264556,pirates_of_caribbean.csv
13,2022-11-15 11:00:00,62.879976044161246,pirates_of_caribbean.csv
14,2022-11-15 12:00:00,61.27887717938316,pirates_of_caribbean.csv
0,2022-11-15 01:00:00,452.30625451290757,regal_carrousel.csv
1,2022-11-15 02:00:00,449.3345669792035,regal_carrousel.csv
2,2022-11-15 03:00:00,382.9840316687653,regal_carrousel.csv
3,2022-11-15 04:00:00,281.2059685923042,regal_carrousel.csv
4,2022-11-15 05:00:00,187.34430882572872,regal_carrousel.csv
5,2022-11-15 06:00:00,137.49504231939545,regal_carrousel.csv
6,2022-11-15 07:00:00,145.40901376820986,regal_carrousel.csv
7,2022-11-15 08:00:00,200.75666746480098,regal_carrousel.csv
8,2022-11-15 08:00:00,200.75666746480098,regal_carrousel.csv
9,2022-11-15 09:00:00,277.83560750235654,regal_carrousel.csv
10,2022-11-15 09:00:00,277.83560750235654,regal_carrousel.csv
11,2022-11-15 10:00:00,348.0745388945253,regal_carrousel.csv
12,2022-11-15 10:00:00,348.0745388945253,regal_carrousel.csv
13,2022-11-15 11:00:00,391.08062786362495,regal_carrousel.csv
14,2022-11-15 12:00:00,401.4615259985434,regal_carrousel.csv
0,2022-11-15 01:00:00,-137.18421142352236,space_mountain.csv
1,2022-11-15 02:00:00,-261.51051982270536,space_mountain.csv
2,2022-11-15 03:00:00,-427.7383530250645,space_mountain.csv
3,2022-11-15 04:00:00,-581.4014993299714,space_mountain.csv
4,2022-11-15 05:00:00,-650.6262063329425,space_mountain.csv
5,2022-11-15 06:00:00,-591.9815114253811,space_mountain.csv
6,2022-11-15 07:00:00,-422.19600015918206,space_mountain.csv
7,2022-11-15 08:00:00,-209.88051127578552,space_mountain.csv
8,2022-11-15 08:00:00,-209.88051127578552,space_mountain.csv
9,2022-11-15 09:00:00,-32.7975809527432,space_mountain.csv
10,2022-11-15 09:00:00,-32.7975809527432,space_mountain.csv
11,2022-11-15 10:00:00,66.76423084633718,space_mountain.csv
12,2022-11-15 10:00:00,66.76423084633718,space_mountain.csv
13,2022-11-15 11:00:00,96.59893133881944,space_mountain.csv
14,2022-11-15 12:00:00,93.78852877975086,space_mountain.csv
0,2022-11-15 01:00:00,-197.5435243472809,splash_mountain.csv
1,2022-11-15 02:00:00,-124.75543989790688,splash_mountain.csv
2,2022-11-15 03:00:00,-158.26262973747927,splash_mountain.csv
3,2022-11-15 04:00:00,-313.1906065111391,splash_mountain.csv
4,2022-11-15 05:00:00,-525.6971777457119,splash_mountain.csv
5,2022-11-15 06:00:00,-690.7587515908233,splash_mountain.csv
6,2022-11-15 07:00:00,-731.6731325272829,splash_mountain.csv
7,2022-11-15 08:00:00,-647.3857547552232,splash_mountain.csv
8,2022-11-15 08:00:00,-647.3857547552232,splash_mountain.csv
9,2022-11-15 09:00:00,-503.06370205899213,splash_mountain.csv
10,2022-11-15 09:00:00,-503.06370205899213,splash_mountain.csv
11,2022-11-15 10:00:00,-376.8752729084004,splash_mountain.csv
12,2022-11-15 10:00:00,-376.8752729084004,splash_mountain.csv
13,2022-11-15 11:00:00,-309.10040533839987,splash_mountain.csv
14,2022-11-15 12:00:00,-290.9331845308728,splash_mountain.csv
0,2022-11-15 01:00:00,79.80833776245944,tom_land_speedway.csv
1,2022-11-15 02:00:00,-45.197375570045836,tom_land_speedway.csv
2,2022-11-15 03:00:00,-170.26202227782474,tom_land_speedway.csv
3,2022-11-15 04:00:00,-246.24535431767913,tom_land_speedway.csv
4,2022-11-15 05:00:00,-238.26845804030074,tom_land_speedway.csv
5,2022-11-15 06:00:00,-145.5230979270058,tom_land_speedway.csv
6,2022-11-15 07:00:00,-0.8328826895187262,tom_land_speedway.csv
7,2022-11-15 08:00:00,148.3970283587767,tom_land_speedway.csv
8,2022-11-15 08:00:00,148.3970283587767,tom_land_speedway.csv
9,2022-11-15 09:00:00,263.83697793907754,tom_land_speedway.csv
10,2022-11-15 09:00:00,263.83697793907754,tom_land_speedway.csv
11,2022-11-15 10:00:00,329.796946461631,tom_land_speedway.csv
12,2022-11-15 10:00:00,329.796946461631,tom_land_speedway.csv
13,2022-11-15 11:00:00,351.8112128734881,tom_land_speedway.csv
14,2022-11-15 12:00:00,346.19628197633847,tom_land_speedway.csv
0,2022-11-15 01:00:00,-580.597773626222,town_sq_mickey.csv
1,2022-11-15 02:00:00,-856.0439432542452,town_sq_mickey.csv
2,2022-11-15 03:00:00,-1070.4665301219216,town_sq_mickey.csv
3,2022-11-15 04:00:00,-1141.4407288346936,town_sq_mickey.csv
4,2022-11-15 05:00:00,-1037.6236520591906,town_sq_mickey.csv
5,2022-11-15 06:00:00,-797.6495636469555,town_sq_mickey.csv
6,2022-11-15 07:00:00,-508.30087946703236,town_sq_mickey.csv
7,2022-11-15 08:00:00,-257.4884455604066,town_sq_mickey.csv
8,2022-11-15 08:00:00,-257.4884455604066,town_sq_mickey.csv
9,2022-11-15 09:00:00,-94.0343336526378,town_sq_mickey.csv
10,2022-11-15 09:00:00,-94.0343336526378,town_sq_mickey.csv
11,2022-11-15 10:00:00,-17.65164268874622,town_sq_mickey.csv
12,2022-11-15 10:00:00,-17.65164268874622,town_sq_mickey.csv
13,2022-11-15 11:00:00,2.0769198765994474,town_sq_mickey.csv
14,2022-11-15 12:00:00,-1.838624277777626,town_sq_mickey.csv
0,2022-11-15 01:00:00,-142.91210232118465,under_the_sea.csv
1,2022-11-15 02:00:00,-227.400322061165,under_the_sea.csv
2,2022-11-15 03:00:00,-329.84423257248466,under_the_sea.csv
3,2022-11-15 04:00:00,-412.6803215433303,under_the_sea.csv
4,2022-11-15 05:00:00,-434.9580680375677,under_the_sea.csv
5,2022-11-15 06:00:00,-379.4763151738661,under_the_sea.csv
6,2022-11-15 07:00:00,-265.8356192666764,under_the_sea.csv
7,2022-11-15 08:00:00,-138.68166509997369,under_the_sea.csv
8,2022-11-15 08:00:00,-138.68166509997369,under_the_sea.csv
9,2022-11-15 09:00:00,-40.15346824067471,under_the_sea.csv
10,2022-11-15 09:00:00,-40.15346824067471,under_the_sea.csv
11,2022-11-15 10:00:00,12.500915254598553,under_the_sea.csv
12,2022-11-15 10:00:00,12.500915254598553,under_the_sea.csv
13,2022-11-15 11:00:00,29.057737788447966,under_the_sea.csv
14,2022-11-15 12:00:00,30.689338369042318,under_the_sea.csv
0,2022-11-15 01:00:00,-189.21629693316584,winnie_the_pooh.csv
1,2022-11-15 02:00:00,-370.0106617118313,winnie_the_pooh.csv
2,2022-11-15 03:00:00,-575.6867622526671,winnie_the_pooh.csv
3,2022-11-15 04:00:00,-721.6928439083125,winnie_the_pooh.csv
4,2022-11-15 05:00:00,-733.1106899399198,winnie_the_pooh.csv
5,2022-11-15 06:00:00,-595.4393510991588,winnie_the_pooh.csv
6,2022-11-15 07:00:00,-366.217951353133,winnie_the_pooh.csv
7,2022-11-15 08:00:00,-137.8693906368265,winnie_the_pooh.csv
8,2022-11-15 08:00:00,-137.8693906368265,winnie_the_pooh.csv
9,2022-11-15 09:00:00,18.9557894626617,winnie_the_pooh.csv
10,2022-11-15 09:00:00,18.9557894626617,winnie_the_pooh.csv
11,2022-11-15 10:00:00,88.90862786954771,winnie_the_pooh.csv
12,2022-11-15 10:00:00,88.90862786954771,winnie_the_pooh.csv
13,2022-11-15 11:00:00,102.29890845768948,winnie_the_pooh.csv
14,2022-11-15 12:00:00,98.73458834237327,winnie_the_pooh.csv
